长沙	Zhangsha
乐山	Leshan
静海县	Jinghaixian
阜新	Fuxin
海东	Haidong
平谷区	Pingguqu
克拉玛依	Kelamayi
北碚区	Beibeiqu
沧州	Cangzhou
香港	Xianggang
塔城	Tacheng
怒江	Nujiang
昌吉	Changji
娄底	Loudi
锦州	Jinzhou
越南	Yuenan
黔西南	Qianxinan
澳门	Aomen
海南	Hainan
漳州	Zhangzhou
丽江	Lijiang
长寿区	Zhangshouqu
西安	Xian
保定	Baoding
哈密	Hami
丹东	Dandong
郴州	Chenzhou
江津市	Jiangjinshi
密云县	Miyunxian
楚雄	Chuxiong
四平	Siping
牡丹江	Mudanjiang
铜梁县	Tongliangxian
沙坪坝区	Shapingbaqu
迪庆	Diqing
廊坊	Langfang
阳泉	Yangquan
渝中区	Yuzhongqu
昭通	Zhaotong
河池	Hechi
广元	Guangyuan
汉中	Hanzhong
温州	Wenzhou
漯河	Luohe
大连	Dalian
营口	Yingkou
赣州	Ganzhou
绍兴	Shaoxing
沈阳	Shenyang
徐汇区	Xuhuiqu
凉山	Liangshan
中山	Zhongshan
商丘	Shangqiu
南京	Nanjing
百色	Baise
新乡	Xinxiang
鞍山	Anshan
鸡西	Jixi
其他	Qita
双鸭山	Shuangyashan
忠县	Zhongxian
曲靖	Qujing
红桥区	Hongqiaoqu
兰州	Lanzhou
聊城	Liaocheng
鹤岗	Hegang
烟台	Yantai
加拿大	Jianada
宿州	Suzhou
濮阳	Puyang
普陀区	Putuoqu
秀山土家族苗族自治县	Xiushantujiazumiaozuzizhixian
广州	Guangzhou
银川	Yinchuan
呼和浩特	Huhehaote
唐山	Tangshan
黄山	Huangshan
阳江	Yangjiang
阜阳	Fuyang
日本	Riben
淮安	Huaian
柳州	Liuzhou
齐齐哈尔	Qiqihaer
北辰区	Beichenqu
垫江县	Dianjiangxian
大兴区	Daxingqu
海淀区	Haidianqu
忻州	Xinzhou
嘉定区	Jiadingqu
保山	Baoshan
潼南县	Tongnanxian
果洛	Guoluo
大足县	Dazuxian
南昌	Nanchang
淮北	Huaibei
吐鲁番	Tulufan
包头	Baotou
泸州	Luzhou
綦江县	Qijiangxian
马来西亚	Malaixiya
运城	Yuncheng
梧州	Wuzhou
朔州	Shuozhou
酉阳土家族苗族自治县	Youyangtujiazumiaozuzizhixian
梁平县	Liangpingxian
宿迁	Suqian
葫芦岛	Huludao
南岸区	Nananqu
平凉	Pingliang
舟山	Zhoushan
安顺	Anshun
渭南	Weinan
安阳	Anyang
衢州	Quzhou
黄浦区	Huangpuqu
台北	Taibei
吉林	Jilin
吴忠	Wuzhong
七台河	Qitaihe
印度	Yindu
和田	Hetian
长春	Zhangchun
房山区	Fangshanqu
云阳县	Yunyangxian
奉贤区	Fengxianqu
新加坡	Xinjiapo
虹口区	Hongkouqu
临沂	Linyi
荆门	Jingmen
鄂尔多斯	Eerduosi
博尔塔拉	Boertala
大庆	Daqing
六安	Liuan
惠州	Huizhou
福州	Fuzhou
伊春	Yichun
文山	Wenshan
阿克苏	Akesu
高雄	Gaoxiong
黔东南	Qiandongnan
资阳	Ziyang
石嘴山	Shizuishan
达州	Dazhou
蓟县	Jixian
镇江	Zhenjiang
澳大利亚	Aodaliya
潮州	Chaozhou
彭水苗族土家族自治县	Pengshuimiaozutujiazuzizhixian
三亚	Sanya
山南	Shannan
赤峰	Chifeng
汕尾	Shanwei
合肥	Hefei
石柱土家族自治县	Shizhutujiazuzizhixian
朝阳	Chaoyang
宣城	Xuancheng
枣庄	Zaozhuang
无锡	Wuxi
呼伦贝尔	Hulunbeier
黔江区	Qianjiangqu
铜陵	Tongling
清远	Qingyuan
拉萨	Lasa
遵义	Zunyi
承德	Chengde
常德	Changde
德宏	Dehong
巫溪县	Wuxixian
泉州	Quanzhou
那曲	Neiqu
武威	Wuwei
静安区	Jinganqu
苏州	Suzhou
本溪	Benxi
南汇区	Nanhuiqu
钦州	Qinzhou
潍坊	Weifang
萍乡	Pingxiang
上饶	Shangrao
成都	Chengdou
防城港	Fangchenggang
洛阳	Luoyang
昆明	Kunming
东城区	Dongchengqu
黄石	Huangshi
邢台	Xingtai
城口县	Chengkouxian
郑州	Zhengzhou
淄博	Zibo
茂名	Maoming
西宁	Xining
美国	Meiguo
阿勒泰	Aletai
林芝	Linzhi
丰都县	Fengdouxian
泰安	Taian
泰州	Taizhou
梅州	Meizhou
巴音郭楞	Bayinguoleng
宜宾	Yibin
红河	Honghe
日喀则	Rikaze
滨州	Binzhou
锡林郭勒盟	Xilinguolemeng
延边朝鲜族自治州	Yanbianchaoxianzuzizhizhou
绵阳	Mianyang
甘孜	Ganzi
桂林	Guilin
厦门	Shamen
昌都	Changdou
丰台区	Fengtaiqu
昌平区	Changpingqu
思茅	Simao
衡阳	Hengyang
铜仁	Tongren
河西区	Hexiqu
嘉峪关	Jiayuguan
河源	Heyuan
开封	Kaifeng
伊犁	Yili
九江	Jiujiang
宁德	Ningde
徐州	Xuzhou
眉山	Meishan
盐城	Yancheng
蚌埠	Bangbu
武汉	Wuhan
荆州	Jingzhou
攀枝花	Panzhihua
杭州	Hangzhou
怀柔区	Huairouqu
白城	Baicheng
襄樊	Xiangfan
安庆	Anqing
通化	Tonghua
贺州	Hezhou
甘南	Gannan
马鞍山	Maanshan
璧山县	Bishanxian
津南区	Jinnanqu
宣武区	Xuanwuqu
贵阳	Guiyang
哈尔滨	Haerbin
武清区	Wuqingqu
黑河	Heihe
双桥区	Shuangqiaoqu
白银	Baiyin
杨浦区	Yangpuqu
黔南	Qiannan
庆阳	Qingyang
南开区	Nankaiqu
佳木斯	Jiamusi
黄南	Huangnan
咸阳	Xianyang
大同	Datong
三明	Sanming
恩施土家族苗族自治州	Enshitujiazumiaozuzizhizhou
石景山区	Shijingshanqu
金华	Jinhua
商洛	Shangluo
阿坝	Aba
法国	Faguo
南宁	Nanning
闵行区	Minxingqu
白山	Baishan
临夏	Linxia
涪陵区	Fulingqu
连云港	Lianyungang
巫山县	Wushanxian
丽水	Lishui
巴彦淖尔盟	Bayannaoermeng
许昌	Xuchang
玉树	Yushu
金昌	Jinchang
辽阳	Liaoyang
韶关	Shaoguan
门头沟区	Mentougouqu
天水	Tianshui
河北区	Hebeiqu
崇文区	Chongwenqu
玉溪	Yuxi
渝北区	Yubeiqu
菏泽	Heze
延安	Yanan
自贡	Zigong
汉沽区	Hanguqu
永州	Yongzhou
通辽	Tongliao
莱芜	Laiwu
宜昌	Yichang
乌鲁木齐	Wulumuqi
大兴安岭	Daxinganling
雅安	Yaan
株洲	Zhuzhou
南阳	Nanyang
晋中	Jinzhong
安康	Ankang
酒泉	Jiuquan
珠海	Zhuhai
宁波	Ningbo
大渡口区	Dadukouqu
怀化	Huaihua
巴西	Baxi
合川市	Hechuanshi
广安	Guangan
太原	Taiyuan
崇明县	Chongmingxian
河东区	Hedongqu
揭阳	Jieyang
武隆县	Wulongxian
六盘水	Liupanshui
辽源	Liaoyuan
松原	Songyuan
青浦区	Qingpuqu
海口	Haikou
鹤壁	Hebi
金山区	Jinshanqu
临沧	Lincang
济宁	Jining
驻马店	Zhumadian
南充	Nanchong
抚顺	Fushun
东营	Dongying
盘锦	Panjin
宝山区	Baoshanqu
邯郸	Handan
西青区	Xiqingqu
十堰	Shiyan
万盛区	Wanshengqu
江北区	Jiangbeiqu
德阳	Deyang
兴安盟	Xinganmeng
宝坻区	Baochiqu
张掖	Zhangye
宜春	Yichun
台州	Taizhou
江门	Jiangmen
临汾	Linfen
衡水	Hengshui
铜川	Tongchuan
固原	Guyuan
贵港	Guigang
焦作	Jiaozuo
长宁区	Zhangningqu
东莞	Dongguan
延庆县	Yanqingxian
北海	Beihai
随州	Suizhou
咸宁	Xianning
深圳	Shenzhen
大港区	Dagangqu
汕头	Shantou
云浮	Yunfu
克孜勒苏	Kezilesu
南平	Nanping
万州区	Wanzhouqu
常州	Changzhou
南川市	Nanchuanshi
益阳	Yiyang
石家庄	Shijiazhuang
湛江	Zhanjiang
乌海	Wuhai
湘潭	Xiangtan
阿拉善盟	Alashanmeng
秦皇岛	Qinhuangdao
俄罗斯	Eluosi
遂宁	Suining
大理	Dali
信阳	Xinyang
宁河县	Ninghexian
宝鸡	Baoji
周口	Zhoukou
扬州	Yangzhou
嘉兴	Jiaxing
和平区	Hepingqu
龙岩	Longyan
肇庆	Zhaoqing
鹰潭	Yingtan
孝感	Xiaogan
济南	Jinan
岳阳	Yueyang
通州区	Tongzhouqu
毕节	Bijie
三门峡	Sanmenxia
菲律宾	Feilu:bin
滁州	Chuzhou
顺义区	Shunyiqu
荣昌县	Rongchangxian
邵阳	Shaoyang
九龙坡区	Jiulongpoqu
景德镇	Jingdezhen
黄冈	Huanggang
吉安	Jian
淮南	Huainan
铁岭	Tieling
定西	Dingxi
海北	Haibei
绥化	Suihua
张家口	Zhangjiakou
青岛	Qingdao
亳州	Bozhou
池州	Chizhou
抚州	Fuzhou
威海	Weihai
内江	Neijiang
平顶山	Pingdingshan
闸北区	Zhabeiqu
张家界	Zhangjiajie
东丽区	Dongliqu
鄂州	Ezhou
奉节县	Fengjiexian
巢湖	Chaohu
芜湖	Wuhu
开县	Kaixian
日照	Rizhao
吕梁	Lu:liang
新余	Xinyu
湖州	Huzhou
巴南区	Bananqu
佛山	Foshan
塘沽区	Tangguqu
西城区	Xichengqu
莆田	Putian
长治	Zhangzhi
德州	Dezhou
榆林	Yulin
泰国	Taiguo
朝阳区	Chaoyangqu
湘西土家族苗族自治州	Xiangxitujiazumiaozuzizhizhou
阿里	Ali
乌兰察布盟	Wulanchabumeng
浦东新区	Pudongxinqu
英国	Yingguo
海西	Haixi
喀什	Kashen
南通	Nantong
晋城	Jincheng
松江区	Songjiangqu
陇南	Longnan
卢湾区	Luwanqu
西双版纳	Xishuangbanna
印尼	Yinni
巴中	Bazhong
玉林	Yulin
永川区	Yongchuanqu
